"system_object_id";"StateRegistrationOfMarriage";"ID";"Year";"Month";"global_id";
"1";"4997";"1";"2010";"€нварь";"37591658";
"2";"4873";"2";"2010";"февраль";"37591659";
"3";"3642";"3";"2010";"март";"37591660";
"4";"9698";"4";"2010";"апрель";"37591661";
"5";"3726";"5";"2010";"май";"37591662";
"6";"9148";"6";"2010";"июнь";"62353812";
"7";"12473";"7";"2010";"июль";"62353813";
"8";"10882";"8";"2010";"август";"62353814";
"9";"10736";"9";"2010";"сент€брь";"62353816";
"10";"8862";"10";"2010";"окт€брь";"62353817";
"11";"6080";"11";"2010";"но€брь";"62353818";
"12";"6023";"12";"2010";"декабрь";"62353819";
"13";"4440";"13";"2011";"€нварь";"62353821";
"14";"5103";"14";"2011";"февраль";"62353822";
"15";"5207";"15";"2011";"март";"62353823";
"16";"7029";"16";"2011";"апрель";"62353824";
"17";"4695";"17";"2011";"май";"62353825";
"18";"10951";"18";"2011";"июнь";"62353826";
"19";"11836";"19";"2011";"июль";"62353827";
"20";"11598";"20";"2011";"август";"62353828";
"21";"12477";"21";"2011";"сент€брь";"62353829";
"22";"8761";"22";"2011";"окт€брь";"62353830";
"23";"8005";"23";"2011";"но€брь";"62353831";
"24";"7798";"24";"2011";"декабрь";"62353832";
"25";"4062";"25";"2012";"€нварь";"62353833";
"26";"5435";"26";"2012";"февраль";"62353835";
"27";"4371";"27";"2012";"март";"62353836";
"28";"7453";"28";"2012";"апрель";"62353837";
"29";"4250";"29";"2012";"май";"62353838";
"30";"11096";"30";"2012";"июнь";"62353839";
"31";"10694";"31";"2012";"июль";"62353840";
"32";"12732";"32";"2012";"август";"62353841";
"33";"11479";"33";"2012";"сент€брь";"62353842";
"34";"7407";"34";"2012";"окт€брь";"62353843";
"35";"6178";"35";"2012";"но€брь";"62353844";
"36";"7098";"36";"2012";"декабрь";"62353845";
"37";"4123";"37";"2013";"€нварь";"62353846";
"38";"5007";"38";"2013";"февраль";"62353847";
"39";"7165";"39";"2013";"март";"62353849";
"40";"5489";"40";"2013";"апрель";"62353850";
"41";"4650";"41";"2013";"май";"62353851";
"42";"11998";"42";"2013";"июнь";"62353852";
"43";"11287";"43";"2013";"июль";"62353853";
"44";"13915";"44";"2013";"август";"62353854";
"45";"11398";"45";"2013";"сент€брь";"62353855";
"46";"7836";"46";"2013";"окт€брь";"62353856";
"47";"7260";"47";"2013";"но€брь";"62353857";
"48";"6462";"48";"2013";"декабрь";"62353858";
"49";"4702";"49";"2014";"€нварь";"62353859";
"50";"6341";"50";"2014";"февраль";"62353860";
"51";"5889";"51";"2014";"март";"62353861";
"52";"7576";"52";"2014";"апрель";"62353862";
"53";"5890";"53";"2014";"май";"62353863";
"54";"10276";"54";"2014";"июнь";"62353864";
"55";"12156";"55";"2014";"июль";"62353865";
"56";"13823";"56";"2014";"август";"62353866";
"57";"11030";"57";"2014";"сент€брь";"62353867";
"58";"9761";"58";"2014";"окт€брь";"62353868";
"59";"6705";"59";"2014";"но€брь";"62353869";
"60";"6334";"60";"2014";"декабрь";"62353870";
"61";"4983";"61";"2015";"€нварь";"62353871";
"62";"5807";"62";"2015";"февраль";"62353872";
"63";"4890";"63";"2015";"март";"62353873";
"64";"8653";"64";"2015";"апрель";"62353874";
"65";"5482";"65";"2015";"май";"62353875";
"66";"10150";"66";"2015";"июнь";"62353876";
"67";"12550";"67";"2015";"июль";"62353878";
"68";"12495";"68";"2015";"август";"62353879";
"69";"11515";"69";"2015";"сент€брь";"62353881";
"70";"9164";"70";"2015";"окт€брь";"62353882";
"71";"6566";"71";"2015";"но€брь";"62353883";
"";"7465";"72";"2015";"декабрь";"63950240";
"";"4332";"73";"2016";"€нварь";"64512643";
"";"4944";"74";"2016";"февраль";"140182280";
"";"5279";"75";"2016";"март";"168329079";
"";"5256";"76";"2016";"апрель";"169688808";
"";"4712";"77";"2016";"май";"170907809";
"";"10636";"78";"2016";"июнь";"171626637";
"";"12289";"79";"2016";"июль";"272397822";
"";"11196";"80";"2016";"август";"273024737";
